[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=9
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=10
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=11
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=12
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=13
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=99
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=26
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=3
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=27
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=4
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=28
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=29
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=100
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=101
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=102
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=30
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=31
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=32
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=33
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=0
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=1
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=103
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=34
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=35
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=6
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=7
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=36
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=8
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=9
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=6
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=37
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=10
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=7
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=8
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=104
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=35
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=36
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=37
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:37]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=3
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=10
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=9
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=8
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=30
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=4
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=29
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=28
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=27
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=26
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=34
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=32
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=31
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=6
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=7
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=105
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=106
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=14
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=15
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=16
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=17
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=18
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=19
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=20
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=107
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=108
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=21
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=109
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=22
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=23
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=24
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=25
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=110
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=38
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=33
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=39
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=40
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=8
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=41
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=35
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=30
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=42
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=111
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=31
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=32
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=33
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=112
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=36
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=37
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=113
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=38
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=39
[2021-01-12 11:28:38]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=43
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=9
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=6
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=7
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=14
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=44
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=15
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=45
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=16
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=41
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=17
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=46
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=20
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=42
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=21
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=22
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=10
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=23
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=47
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=24
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=48
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=25
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=44
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=3
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=4
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=49
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=50
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=114
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=51
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=52
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=45
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=53
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=115
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=6
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=7
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=116
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=117
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=26
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=27
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=28
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s3.m4s/seg=0
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=29
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s3.m4s/seg=1
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_131087bps/bunny_131087bps_BigBuckBunny_2s3.m4s/seg=0
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_131087bps/bunny_131087bps_BigBuckBunny_2s3.m4s/seg=1
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s3.m4s/seg=0
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s3.m4s/seg=1
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=30
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=31
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=32
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s3.m4s/seg=0
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_221600bps/bunny_221600bps_BigBuckBunny_2s3.m4s/seg=1
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=26
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=33
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=34
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=35
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=28
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=118
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=119
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=120
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=36
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=29
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=121
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=30
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=37
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=38
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=39
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=40
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=41
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=34
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=122
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=40
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=46
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=47
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=54
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=55
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=50
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=51
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=56
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=57
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=58
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=48
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=49
[2021-01-12 11:28:39]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=52
